image_path,scanner_model
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_10.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_16.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_17.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_20.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_21.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_22.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_24.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_25.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_26.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_27.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_28.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_31.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_33.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_34.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_35.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_36.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_37.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_38.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_39.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_40.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\HP model\s11_41.tif","HP"
"C:\Users\WIN10 HOME 22H2\Downloads\canon-120 model\s1_66.tif","Canon"
"C:\Users\WIN10 HOME 22H2\Downloads\canon-120 model\s1_67.tif","Canon"
"C:\Users\WIN10 HOME 22H2\Downloads\canon-120 model\s1_68.tif","Canon"
"C:\Users\WIN10 HOME 22H2\Downloads\canon-120 model\s1_69.tif","Canon"
"C:\Users\WIN10 HOME 22H2\Downloads\canon-120 model\s1_70.tif","Canon"
"C:\Users\WIN10 HOME 22H2\Downloads\canon-120 model\s1_71.tif","Canon"
"C:\Users\WIN10 HOME 22H2\Downloads\canon-120 model\s1_72.tif","Canon"
"C:\Users\WIN10 HOME 22H2\Downloads\canon-120 model\s1_73.tif","Canon"
"C:\Users\WIN10 HOME 22H2\Downloads\canon-120 model\s1_74.tif","Canon"
"C:\Users\WIN10 HOME 22H2\Downloads\canon-120 model\s1_75.tif","Canon"
"C:\Users\WIN10 HOME 22H2\Downloads\canon-120 model\s1_76.tif","Canon"
"C:\Users\WIN10 HOME 22H2\Downloads\canon-120 model\s1_77.tif","Canon"
"C:\Users\WIN10 HOME 22H2\Downloads\canon-120 model\s1_78.tif","Canon"
"C:\Users\WIN10 HOME 22H2\Downloads\canon-120 model\s1_79.tif","Canon"
"C:\Users\WIN10 HOME 22H2\Downloads\canon-120 model\s1_80.tif","Canon"
"C:\Users\WIN10 HOME 22H2\Downloads\canon-120 model\s1_81.tif","Canon"
"C:\Users\WIN10 HOME 22H2\Downloads\canon-120 model\s1_82.tif","Canon"
"C:\Users\WIN10 HOME 22H2\Downloads\canon-120 model\s1_83.tif","Canon"

